examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006990 0000003c t __NVIC_EnableIRQ
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a0069cc 00000044 t __NVIC_DisableIRQ
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006a10 0000003c t __NVIC_SetPendingIRQ
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006a4c 00000054 t __NVIC_SetPriority
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006aa0 00000034 t Chip_SCU_PinMuxSet
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006ad4 0000003a t Chip_SCU_PinMux
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006b0e 0000001a t Chip_UART_TXEnable
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006b28 0000001e t Chip_UART_SendByte
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006b46 0000001a t Chip_UART_ReadByte
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006b60 00000022 t Chip_UART_IntEnable
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006b82 00000024 t Chip_UART_IntDisable
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006ba6 00000018 t Chip_UART_GetIntsEnabled
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006bbe 0000001c t Chip_UART_SetupFIFOS
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006bda 00000018 t Chip_UART_ReadLineStatus
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006bf2 00000022 t Chip_UART_SetRS485Flags
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1000348c 00000004 b rxIsrCallbackUART0
examples/c/TP1_final_2022/out/TP1_final_2022.elf:10003490 00000004 b rxIsrCallbackUART0Params
examples/c/TP1_final_2022/out/TP1_final_2022.elf:10003494 00000004 b rxIsrCallbackUART2
examples/c/TP1_final_2022/out/TP1_final_2022.elf:10003498 00000004 b rxIsrCallbackUART2Params
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1000349c 00000004 b rxIsrCallbackUART3
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034a0 00000004 b rxIsrCallbackUART3Params
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034a4 00000004 b txIsrCallbackUART0
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034a8 00000004 b txIsrCallbackUART0Params
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034ac 00000004 b txIsrCallbackUART2
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034b0 00000004 b txIsrCallbackUART2Params
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034b4 00000004 b txIsrCallbackUART3
examples/c/TP1_final_2022/out/TP1_final_2022.elf:100034b8 00000004 b txIsrCallbackUART3Params
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a00d1c0 00000048 t lpcUarts
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a006c14 00000130 t uartProcessIRQ
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a000b74 0000003e t _StartOfMessage
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a000bf2 00000044 t _EndOfMessage
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a000bb2 00000040 t _MiddleOfMessage
examples/c/TP1_final_2022/out/TP1_final_2022.elf:10000000 00000010 d crc8_small_table
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a00117c 0000007c t _ConfigSincronization
examples/c/TP1_final_2022/out/TP1_final_2022.elf:1a0011f8 00000050 t _ConfigPeriph
examples/c/TP1_final_2022/out/TP1_final_2022.elf:10000a3c 00000004 b heap_end.5864
examples/c/TP1_final_2022/out/TP1_final_2022.elf:10000a40 00002000 b ucHeap
